C.C..non.aromatic.,C.C.C.O.in.non.aromatic.ring,MW,NumHBondDonors,NumOfAtoms,NumOfC,NumOfConf,NumOfConfUsed,NumOfN,NumOfO,aldehyde,aromatic.hydroxyl,carbonylperoxyacid,carbonylperoxynitrate,carboxylic.acid,category_None,category_apin,category_apin_decane,category_apin_decane_toluene,category_apin_toluene,category_decane,category_decane_toluene,category_toluene,ester,ether..alicyclic.,hydroperoxide,hydroxyl..alkyl.,ketone,nitrate,nitro,nitroester,peroxide
0,0,234.99643074,1,21,6,101,40,1,9,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
0,0,262.99134536,1,23,7,121,40,1,10,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1
0,0,250.99134536,1,22,6,69,35,1,10,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
0,0,295.976423568,0,24,6,26,26,2,12,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
0,0,219.00151612,0,20,6,22,22,1,8,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
0,0,246.99643074,0,22,7,18,18,1,9,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1
0,0,175.01168688,1,17,5,18,9,1,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
0,0,291.981508948,0,24,7,29,29,2,11,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0
0,0,262.99134536,2,23,7,109,36,1,10,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1
0,0,295.976423568,2,24,6,62,21,2,12,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,1
0,0,204.985866056,2,17,5,39,5,1,8,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
0,0,222.99643074,3,20,5,253,20,1,9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0
0,0,220.980780676,2,18,5,29,5,1,9,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
0,0,220.980780676,1,18,5,68,28,1,9,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1
0,0,248.975695296,1,20,6,71,22,1,10,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,1
0,0,267.981508948,2,22,5,90,21,2,11,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0
0,0,238.99134536,3,21,5,205,19,1,10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0
0,0,175.01168688,1,17,5,15,11,1,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
0,0,191.0066015,2,18,5,28,6,1,7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
0,0,207.00151612,2,19,5,22,6,1,8,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
0,0,234.99643074,1,21,6,52,30,1,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,1
0,0,232.980780676,1,19,6,16,9,1,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,1
0,0,234.99643074,2,21,6,60,32,1,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,1
0,0,281.001910044,3,26,7,315,22,1,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,1,0,1
0,0,293.997159012,2,26,7,175,3,2,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,1,0,0
0,0,265.006995424,3,25,7,294,6,1,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,1,0,0
0,0,160.996036816,1,14,4,10,7,1,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
0,0,192.985866056,2,16,4,24,8,1,8,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
0,0,220.980780676,2,18,5,53,15,1,9,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0
0,0,267.981508948,1,22,5,142,39,2,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0
0,0,148.996036816,1,13,3,8,7,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
0,0,222.99643074,2,20,5,274,40,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0
0,0,250.99134536,2,22,6,316,40,1,10,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0
0,0,267.981508948,1,22,5,160,40,2,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0
0,0,295.976423568,1,24,6,205,40,2,12,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0
0,0,222.99643074,2,20,5,224,40,1,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0
0,0,238.99134536,2,21,5,319,40,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,1,0,0
0,0,266.98625998,2,23,6,342,40,1,11,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,1,0,0
0,0,191.0066015,1,18,5,34,20,1,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
0,0,222.99643074,2,20,5,57,13,1,9,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
0,0,267.981508948,1,22,5,57,34,2,11,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
0,0,297.992073632,2,26,6,262,40,2,12,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0
0,0,249.012080804,2,24,7,248,40,1,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,1,0,0
0,0,207.00151612,1,19,5,51,37,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,0,266.98625998,2,23,6,116,40,1,11,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,0,311.971338188,1,25,6,81,40,2,13,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,0,222.99643074,1,20,5,98,40,1,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1
0,0,250.99134536,1,22,6,101,29,1,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,1
0,0,250.99134536,2,22,6,138,40,1,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1
0,0,176.990951436,1,15,4,26,18,1,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
0,0,192.985866056,2,16,4,70,20,1,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
0,0,208.980780676,2,17,4,69,32,1,9,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
0,0,265.006995424,3,25,7,335,17,1,10,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,2,0,1,0,0
0,0,281.001910044,3,26,7,312,13,1,11,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,1,0,0
0,0,325.986988252,2,28,7,334,40,2,13,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,1,0,0
0,0,222.99643074,2,20,5,205,40,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,1,0,0
0,0,223.991679708,1,19,4,61,40,2,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0
0,0,192.985866056,1,16,4,64,40,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,0,220.980780676,1,18,5,67,40,1,9,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,0,252.970609916,2,20,5,120,40,1,11,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,0,297.955688124,1,22,5,72,40,2,13,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,0,295.976423568,1,24,6,179,40,2,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,1,0,0
0,0,266.98625998,2,23,6,380,40,1,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2,0,1,0,0
0,0,267.981508948,1,22,5,132,40,2,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0
0,0,238.99134536,2,21,5,213,40,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,1,0,0
0,0,208.980780676,1,17,4,66,40,1,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1
0,0,246.99643074,1,22,7,63,40,1,9,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1
0,0,246.99643074,1,22,7,68,40,1,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,1
0,0,249.012080804,2,24,7,162,40,1,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,1
0,0,291.981508948,0,24,7,29,29,2,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,1
0,0,293.997159012,1,26,7,125,40,2,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1
0,0,262.99134536,1,23,7,103,40,1,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,1
0,0,265.006995424,2,25,7,255,40,1,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1
0,0,219.00151612,1,20,6,30,21,1,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0
0,0,231.00151612,0,21,7,10,10,1,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1
0,0,246.99643074,1,22,7,15,5,1,9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1
0,0,262.99134536,1,23,7,29,17,1,10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1
0,0,307.976423568,0,25,7,16,16,2,12,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1
0,0,249.012080804,2,24,7,64,19,1,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,1
0,0,233.017166184,1,23,7,36,35,1,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1
0,0,262.99134536,1,23,7,15,8,1,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,1
0,0,309.992073632,2,27,7,50,2,2,12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,0,1
0,0,281.001910044,3,26,7,151,3,1,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,1,0,1
0,0,219.00151612,1,20,6,47,30,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,0,0
0,0,216.985866056,0,18,6,10,10,1,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1
0,0,232.980780676,1,19,6,17,7,1,9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1
0,0,248.975695296,1,20,6,16,7,1,10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1
0,0,293.960773504,0,22,6,11,11,2,12,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1
0,0,291.981508948,0,24,7,38,38,2,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,0,1
0,0,250.99134536,2,22,6,115,40,1,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1
0,0,219.00151612,1,20,6,34,32,1,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1
0,0,327.966252808,2,26,6,133,40,2,14,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1
0,0,160.996036816,1,14,4,12,8,1,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
0,0,176.990951436,1,15,4,13,8,1,7,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
0,0,216.985866056,1,18,6,40,20,1,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0
0,0,233.017166184,2,23,7,127,10,1,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0
0,0,249.012080804,2,24,7,142,12,1,9,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0
0,0,293.997159012,1,26,7,112,40,2,11,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0
0,0,234.99643074,3,21,6,132,3,1,9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2,0,1,0,0
0,0,250.99134536,3,22,6,144,1,1,10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,1,0,0
0,0,295.976423568,2,24,6,146,9,2,12,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,1,0,0
0,0,191.0066015,1,18,5,46,25,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0
0,0,204.985866056,0,17,5,8,8,1,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1
0,0,232.980780676,0,19,6,13,13,1,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,1
0,0,248.975695296,1,20,6,40,20,1,10,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,1
0,0,250.99134536,1,22,6,58,40,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,1,0,1
0,0,234.99643074,1,21,6,170,40,1,9,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
0,0,175.01168688,1,17,5,22,13,1,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
0,0,291.981508948,0,24,7,37,37,2,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,0,1
0,0,262.99134536,1,23,7,92,40,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,1,0,1
0,0,309.992073632,2,27,7,207,40,2,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,1,0,1
0,0,281.001910044,3,26,7,388,40,1,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,1,0,1
0,0,325.986988252,2,28,7,346,40,2,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,1,0,1
0,0,146.980386752,0,11,3,3,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0
0,0,160.996036816,0,14,4,4,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0
0,0,206.965130612,1,15,4,8,6,1,9,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0
0,0,216.985866056,0,18,6,4,4,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,1,0
0,0,231.00151612,0,21,7,15,15,1,8,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0
0,0,246.99643074,1,22,7,44,24,1,9,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0
0,0,204.985866056,1,17,5,16,10,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0
0,0,276.970609916,2,22,7,82,1,1,11,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0
0,0,307.976423568,1,25,7,98,24,2,12,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0
0,0,278.98625998,2,24,7,226,10,1,11,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0
0,0,246.99643074,1,22,7,31,11,1,9,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0
0,0,248.975695296,2,20,6,53,15,1,10,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0
0,0,307.976423568,1,25,7,107,40,2,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,1,1,0
0,0,291.981508948,0,24,7,21,21,2,11,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
0,0,291.981508948,0,24,7,24,24,2,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,1,1,0
0,0,278.98625998,2,24,7,146,35,1,11,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0
1,0,291.981508948,2,24,7,65,34,2,11,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,1,0
1,0,231.00151612,1,21,7,26,22,1,8,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0
1,0,246.99643074,2,22,7,53,38,1,9,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0
0,0,262.99134536,2,23,7,146,40,1,10,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0
1,0,291.981508948,1,24,7,65,40,2,11,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0
0,0,307.976423568,1,25,7,76,40,2,12,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
1,0,262.99134536,2,23,7,130,40,1,10,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0
0,0,234.99643074,1,21,6,79,40,1,9,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0
1,0,231.00151612,1,21,7,13,13,1,8,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0
0,0,246.99643074,1,22,7,34,26,1,9,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0
0,0,310.97608922,4,26,7,331,9,1,13,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,1,0
0,0,278.98625998,2,24,7,238,21,1,11,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0
0,0,234.99643074,2,21,6,84,20,1,9,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,1,0
0,0,278.98625998,3,24,7,301,23,1,11,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,1,0,1,1,0
0,0,307.976423568,1,25,7,162,38,2,12,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0
0,0,294.9811746,3,25,7,462,20,1,12,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0
0,0,219.00151612,1,20,6,20,12,1,8,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0
0,0,249.012080804,2,24,7,88,19,1,9,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,1,0
0,0,265.006995424,3,25,7,151,13,1,10,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,1,0
0,0,293.997159012,1,26,7,63,40,2,11,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0
0,0,281.001910044,3,26,7,319,40,1,11,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0
0,0,296.996824664,3,27,7,324,33,1,12,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0
0,0,295.976423568,3,24,6,164,19,2,12,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,2,0
0,0,232.980780676,1,19,6,39,16,1,9,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0
