C.C..non.aromatic.,C.C.C.O.in.non.aromatic.ring,MW,NumHBondDonors,NumOfAtoms,NumOfC,NumOfConf,NumOfConfUsed,NumOfN,NumOfO,aldehyde,aromatic.hydroxyl,carbonylperoxyacid,carbonylperoxynitrate,carboxylic.acid,category_None,category_apin,category_apin_decane,category_apin_decane_toluene,category_apin_toluene,category_decane,category_decane_toluene,category_toluene,ester,ether..alicyclic.,hydroperoxide,hydroxyl..alkyl.,ketone,nitrate,nitro,nitroester,pSat_Pa,peroxide
0,0,222.99643074,2,20,5,205,40,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,1,0,-0.9186878080889262,0
0,0,223.991679708,1,19,4,61,40,2,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0.36828688490213096,0
0,0,192.985866056,1,16,4,64,40,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0.4284587735155801,0
0,0,220.980780676,1,18,5,67,40,1,9,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0.26173854735253776,0
0,0,252.970609916,2,20,5,120,40,1,11,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,-2.3505019132697518,0
0,0,297.955688124,1,22,5,72,40,2,13,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0.35793484700045375,0
0,0,295.976423568,1,24,6,179,40,2,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,1,0,-1.2157086867445364,0
0,0,266.98625998,2,23,6,380,40,1,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2,0,1,0,-2.9377992793048895,0
0,0,267.981508948,1,22,5,132,40,2,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,-0.535025248351576,0
0,0,238.99134536,2,21,5,213,40,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,1,0,-1.3894646176331384,0
0,0,208.980780676,1,17,4,66,40,1,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0.46686762035410945,1
0,0,246.99643074,1,22,7,63,40,1,9,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,-2.417092328087733,1
0,0,246.99643074,1,22,7,68,40,1,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,-0.07529974596193012,1
0,0,249.012080804,2,24,7,162,40,1,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,-4.253884995123431,1
0,0,291.981508948,0,24,7,29,29,2,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,1.0151920417628344,1
0,0,293.997159012,1,26,7,125,40,2,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,-2.9843715137186138,1
0,0,262.99134536,1,23,7,103,40,1,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,-1.1552182831074895,1
0,0,265.006995424,2,25,7,255,40,1,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,-3.749383570223203,1
0,0,219.00151612,1,20,6,30,21,1,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,-0.17401800816791105,0
0,0,231.00151612,0,21,7,10,10,1,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0.8981764834976765,1
0,0,246.99643074,1,22,7,15,5,1,9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,-1.0257562127911286,1
0,0,262.99134536,1,23,7,29,17,1,10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,-1.7129970359562217,1
0,0,307.976423568,0,25,7,16,16,2,12,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0.4383841070347141,1
0,0,249.012080804,2,24,7,64,19,1,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,-2.1957987658895477,1
0,0,233.017166184,1,23,7,36,35,1,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,-1.7967485567720127,1
0,0,262.99134536,1,23,7,15,8,1,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,-0.5102025471832429,1
0,0,309.992073632,2,27,7,50,2,2,12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,0,-2.7777996732629697,1
0,0,281.001910044,3,26,7,151,3,1,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,1,0,1.3519508325993843,1
0,0,219.00151612,1,20,6,47,30,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,0,-1.602875783610014,0
0,0,216.985866056,0,18,6,10,10,1,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0.9416108021536338,1
0,0,232.980780676,1,19,6,17,7,1,9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,-0.9052463993013011,1
0,0,248.975695296,1,20,6,16,7,1,10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,-1.6918969304858436,1
0,0,293.960773504,0,22,6,11,11,2,12,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1.144138137663588,1
0,0,291.981508948,0,24,7,38,38,2,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,0,0.5626496722119166,1
0,0,250.99134536,2,22,6,115,40,1,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,-3.283951826960747,1
0,0,219.00151612,1,20,6,34,32,1,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,-1.6755006780264334,1
0,0,327.966252808,2,26,6,133,40,2,14,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,-1.6824733627369457,1
0,0,160.996036816,1,14,4,12,8,1,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,-0.38691453730107495,0
0,0,176.990951436,1,15,4,13,8,1,7,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,-0.8858725458596675,0
0,0,216.985866056,1,18,6,40,20,1,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,-0.7475689054015825,0
0,0,233.017166184,2,23,7,127,10,1,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,-2.862207573756421,0
0,0,249.012080804,2,24,7,142,12,1,9,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,-3.0592490483935473,0
0,0,293.997159012,1,26,7,112,40,2,11,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,-0.3946173826451236,0
0,0,234.99643074,3,21,6,132,3,1,9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2,0,1,0,-0.9882411253221456,0
0,0,250.99134536,3,22,6,144,1,1,10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,1,0,-7.362437663320381,0
0,0,295.976423568,2,24,6,146,9,2,12,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,1,0,0.6447339274471926,0
0,0,191.0066015,1,18,5,46,25,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,-1.2145454115282708,0
0,0,204.985866056,0,17,5,8,8,1,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0.6540802353065707,1
0,0,232.980780676,0,19,6,13,13,1,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,-0.161317577514668,1
0,0,248.975695296,1,20,6,40,20,1,10,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,-2.0228935393865357,1
0,0,250.99134536,1,22,6,58,40,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,1,0,-1.1656284411410582,1
0,0,234.99643074,1,21,6,170,40,1,9,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,-3.0847796008278943,1
0,0,175.01168688,1,17,5,22,13,1,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,-1.3432631923789429,0
0,0,291.981508948,0,24,7,37,37,2,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,0,-1.52847171571399,1
0,0,262.99134536,1,23,7,92,40,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,1,0,-3.849223328319919,1
0,0,309.992073632,2,27,7,207,40,2,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,1,0,-4.0292740186096605,1
0,0,281.001910044,3,26,7,388,40,1,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,1,0,-5.033472004792266,1
0,0,325.986988252,2,28,7,346,40,2,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,1,0,-3.2315304214269243,1
0,0,146.980386752,0,11,3,3,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2.702303848745449,0
0,0,160.996036816,0,14,4,4,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1.6957092712090798,0
0,0,206.965130612,1,15,4,8,6,1,9,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,-0.16842749679330574,0
0,0,216.985866056,0,18,6,4,4,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,1,1.5628992633333023,0
0,0,231.00151612,0,21,7,15,15,1,8,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,-0.05403396540431369,0
0,0,246.99643074,1,22,7,44,24,1,9,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,-1.196907951635966,0
0,0,204.985866056,1,17,5,16,10,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0.41962536088774316,0
0,0,276.970609916,2,22,7,82,1,1,11,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,-3.8425444377373044,0
0,0,307.976423568,1,25,7,98,24,2,12,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,-1.2008420587490307,0
0,0,278.98625998,2,24,7,226,10,1,11,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,-0.37234991080617946,0
0,0,246.99643074,1,22,7,31,11,1,9,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,-0.0647577422045519,0
0,0,248.975695296,2,20,6,53,15,1,10,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,-2.0115333329240337,0
0,0,307.976423568,1,25,7,107,40,2,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,1,1,-0.4586854518296612,0
0,0,291.981508948,0,24,7,21,21,2,11,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,-0.1933741951404444,0
0,0,291.981508948,0,24,7,24,24,2,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,1,1,-0.548771337167085,0
0,0,278.98625998,2,24,7,146,35,1,11,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,-2.7681903555863054,0
